Date,daily runoff
2019-01-01,0.029656745
2019-01-02,0.062826164
2019-01-03,0.089936405
2019-01-04,0.11590082
2019-01-05,0.13916422
2019-01-06,0.16533943
2019-01-07,0.19140457
2019-01-08,0.2169696
2019-01-09,0.2391419
2019-01-10,0.25452435
2019-01-11,0.26816493
2019-01-12,0.27865827
2019-01-13,0.29177913
2019-01-14,0.30467567
2019-01-15,0.3171322
2019-01-16,0.32643086
2019-01-17,0.3293458
2019-01-18,0.33108872
2019-01-19,0.3304073
2019-01-20,0.3332149
2019-01-21,0.33678123
2019-01-22,0.3409924
2019-01-23,0.34321067
2019-01-24,0.34026718
2019-01-25,0.33740658
2019-01-26,0.33338487
2019-01-27,0.3340995
2019-01-28,0.33678097
2019-01-29,0.34125373
2019-01-30,0.3447982
2019-01-31,0.34414536
2019-02-01,0.3444241
2019-02-02,0.34426206
2019-02-03,0.34941888
2019-02-04,0.35698083
2019-02-05,0.36662546
2019-02-06,0.3754867
2019-02-07,0.38015276
2019-02-08,0.38561684
2019-02-09,0.39038044
2019-02-10,0.40008938
2019-02-11,0.41173044
2019-02-12,0.42489824
2019-02-13,0.43666098
2019-02-14,0.44355986
2019-02-15,0.4505597
2019-02-16,0.45615262
2019-02-17,0.46599308
2019-02-18,0.4770939
2019-02-19,0.48909152
2019-02-20,0.49911025
2019-02-21,0.5037595
2019-02-22,0.5080821
2019-02-23,0.5106557
2019-02-24,0.51722515
2019-02-25,0.5248959
2019-02-26,0.5333969
2019-02-27,0.53994197
2019-02-28,0.54122514
2019-03-01,0.5423667
2019-03-02,0.5420126
2019-03-03,0.54596543
2019-03-04,0.55137706
2019-03-05,0.55800956
2019-03-06,0.5630975
2019-03-07,0.56334203
2019-03-08,0.5638579
2019-03-09,0.5632734
2019-03-10,0.56736195
2019-03-11,0.5732361
2019-03-12,0.5806105
2019-03-13,0.5866649
2019-03-14,0.5880409
2019-03-15,0.5897904
2019-03-16,0.5904775
2019-03-17,0.5958128
2019-03-18,0.6028479
2019-03-19,0.61124104
2019-03-20,0.6181218
2019-03-21,0.62008846
2019-03-22,0.622158
2019-03-23,0.62286896
2019-03-24,0.62791556
2019-03-25,0.6343434
2019-03-26,0.64181435
2019-03-27,0.6474709
2019-03-28,0.647933
2019-03-29,0.64824754
2019-03-30,0.6469893
2019-03-31,0.6498943
2019-04-01,0.6540539
2019-04-02,0.6591782
2019-04-03,0.6624586
2019-04-04,0.6605636
2019-04-05,0.6585856
2019-04-06,0.65514165
2019-04-07,0.65600485
2019-04-08,0.6582974
2019-04-09,0.661753
2019-04-10,0.6635788
2019-04-11,0.66045094
2019-04-12,0.6574611
2019-04-13,0.65321696
2019-04-14,0.6534748
2019-04-15,0.6553323
2019-04-16,0.65849274
2019-04-17,0.6601274
2019-04-18,0.65687233
2019-04-19,0.65377694
2019-04-20,0.64940554
2019-04-21,0.64947146
2019-04-22,0.6510319
2019-04-23,0.653753
2019-04-24,0.65477437
2019-04-25,0.6507068
2019-04-26,0.64658225
2019-04-27,0.64095604
2019-04-28,0.6395419
2019-04-29,0.6394075
2019-04-30,0.64023894
2019-05-01,0.639206
2019-05-02,0.6329589
2019-05-03,0.62657756
2019-05-04,0.6186733
2019-05-05,0.615022
2019-05-06,0.6127583
2019-05-07,0.61163884
2019-05-08,0.60890514
2019-05-09,0.6012787
2019-05-10,0.5939082
2019-05-11,0.585469
2019-05-12,0.5817946
2019-05-13,0.580069
2019-05-14,0.58008766
2019-05-15,0.57911944
2019-05-16,0.5738999
2019-05-17,0.5695779
2019-05-18,0.56481373
2019-05-19,0.56541085
2019-05-20,0.56850725
2019-05-21,0.5738376
2019-05-22,0.5785949
2019-05-23,0.5794258
2019-05-24,0.58137697
2019-05-25,0.5829963
2019-05-26,0.58996546
2019-05-27,0.5992939
2019-05-28,0.61058307
2019-05-29,0.6208907
2019-05-30,0.62672806
2019-05-31,0.63300997
2019-06-01,0.63815784
2019-06-02,0.64773476
2019-06-03,0.65864235
2019-06-04,0.67038697
2019-06-05,0.679946
2019-06-06,0.6837672
2019-06-07,0.68672
2019-06-08,0.6871997
2019-06-09,0.6907637
2019-06-10,0.69432855
2019-06-11,0.69743645
2019-06-12,0.69712114
2019-06-13,0.68990684
2019-06-14,0.6807582
2019-06-15,0.66818357
2019-06-16,0.65786934
2019-06-17,0.64687514
2019-06-18,0.63489807
2019-06-19,0.61913663
2019-06-20,0.59628636
2019-06-21,0.5714881
2019-06-22,0.5434278
2019-06-23,0.5179686
2019-06-24,0.49234307
2019-06-25,0.46641538
2019-06-26,0.43754196
2019-06-27,0.40256593
2019-06-28,0.36676234
2019-06-29,0.32893676
2019-06-30,0.2950557
2019-07-01,0.2624376
2019-07-02,0.23101409
2019-07-03,0.19819003
2019-07-04,0.16083774
2019-07-05,0.12424221
2019-07-06,0.087200195
2019-07-07,0.055651095
