Date,Discharge
2019-01-01,731.71533
2019-01-02,706.45013
2019-01-03,685.54047
2019-01-04,664.6898
2019-01-05,648.05743
2019-01-06,626.8259
2019-01-07,607.47363
2019-01-08,587.46423
2019-01-09,571.3501
2019-01-10,560.03503
2019-01-11,549.1157
2019-01-12,542.6356
2019-01-13,531.6549
2019-01-14,522.526
2019-01-15,512.58575
2019-01-16,506.26178
2019-01-17,504.33786
2019-01-18,502.2982
2019-01-19,504.08344
2019-01-20,500.66296
2019-01-21,498.31207
2019-01-22,494.30573
2019-01-23,493.02585
2019-01-24,495.22754
2019-01-25,496.3836
2019-01-26,500.44034
2019-01-27,498.38962
2019-01-28,496.54465
2019-01-29,492.23328
2019-01-30,489.90305
2019-01-31,490.38623
2019-02-01,489.2419
2019-02-02,490.51016
2019-02-03,485.2813
2019-02-04,479.96988
2019-02-05,472.00546
2019-02-06,465.9356
2019-02-07,462.68872
2019-02-08,457.91425
2019-02-09,455.73508
2019-02-10,447.31552
2019-02-11,439.13382
2019-02-12,428.67212
2019-02-13,420.5189
2019-02-14,415.63116
2019-02-15,409.6752
2019-02-16,406.7786
2019-02-17,398.09915
2019-02-18,390.09802
2019-02-19,380.23087
2019-02-20,373.0511
2019-02-21,369.47394
2019-02-22,365.11816
2019-02-23,364.05984
2019-02-24,357.4028
2019-02-25,351.55328
2019-02-26,343.91238
2019-02-27,338.9811
2019-02-28,337.62518
2019-03-01,335.41815
2019-03-02,336.39624
2019-03-03,331.62927
2019-03-04,327.49594
2019-03-05,321.3766
2019-03-06,317.7586
2019-03-07,317.5009
2019-03-08,316.17682
2019-03-09,317.8287
2019-03-10,313.538
2019-03-11,309.7002
2019-03-12,303.7165
2019-03-13,300.09818
2019-03-14,299.7307
2019-03-15,298.21524
2019-03-16,299.62247
2019-03-17,295.06174
2019-03-18,290.95526
2019-03-19,284.72903
2019-03-20,280.9167
2019-03-21,280.42285
2019-03-22,278.86456
2019-03-23,280.32465
2019-03-24,275.92105
2019-03-25,272.08072
2019-03-26,266.23105
2019-03-27,262.9037
2019-03-28,262.9986
2019-03-29,262.1258
2019-03-30,264.35922
2019-03-31,260.8066
2019-04-01,257.88425
2019-04-02,253.00871
2019-04-03,250.70137
2019-04-04,251.85298
2019-04-05,252.0658
2019-04-06,255.40793
2019-04-07,252.98349
2019-04-08,251.20738
2019-04-09,247.49724
2019-04-10,246.37791
2019-04-11,248.7457
2019-04-12,250.21037
2019-04-13,254.84903
2019-04-14,253.77588
2019-04-15,253.41632
2019-04-16,251.19846
2019-04-17,251.65677
2019-04-18,255.69582
2019-04-19,258.9315
2019-04-20,265.44434
2019-04-21,266.3486
2019-04-22,268.06604
2019-04-23,268.01666
2019-04-24,270.72244
2019-04-25,277.07053
2019-04-26,282.6546
2019-04-27,291.52823
2019-04-28,294.77408
2019-04-29,298.77814
2019-04-30,300.92102
2019-05-01,305.6822
2019-05-02,313.9041
2019-05-03,321.1343
2019-05-04,331.37982
2019-05-05,335.6775
2019-05-06,340.3692
2019-05-07,342.79425
2019-05-08,347.39496
2019-05-09,354.98157
2019-05-10,361.07574
2019-05-11,369.6657
2019-05-12,371.77744
2019-05-13,373.75082
2019-05-14,372.93253
2019-05-15,373.78198
2019-05-16,377.1367
2019-05-17,378.55566
2019-05-18,382.07446
2019-05-19,378.7763
2019-05-20,375.06732
2019-05-21,368.36896
2019-05-22,363.22305
2019-05-23,360.55606
2019-05-24,356.02124
2019-05-25,353.75238
2019-05-26,344.93338
2019-05-27,336.0721
2019-05-28,324.69095
2019-05-29,315.4305
2019-05-30,309.31195
2019-05-31,302.0777
2019-06-01,297.94348
2019-06-02,288.16663
2019-06-03,279.31818
2019-06-04,268.97272
2019-06-05,261.81036
2019-06-06,258.87875
2019-06-07,255.9327
2019-06-08,257.18588
2019-06-09,253.8787
2019-06-10,252.5506
2019-06-11,250.72974
2019-06-12,253.03568
2019-06-13,260.44174
2019-06-14,268.61572
2019-06-15,281.6725
2019-06-16,290.74304
2019-06-17,302.24832
2019-06-18,313.59045
2019-06-19,329.25687
2019-06-20,350.08466
2019-06-21,371.6031
2019-06-22,397.7879
2019-06-23,419.6324
2019-06-24,443.423
2019-06-25,466.43246
2019-06-26,493.02554
2019-06-27,523.92505
2019-06-28,554.55585
2019-06-29,588.8004
2019-06-30,617.5714
2019-07-01,647.0877
2019-07-02,674.56866
2019-07-03,704.34045
2019-07-04,737.1021
2019-07-05,768.26965
2019-07-06,801.7321
2019-07-07,828.4226
2019-07-08,854.59503
2019-07-09,877.5165
2019-07-10,901.57336
2019-07-11,927.53577
2019-07-12,950.90094
2019-07-13,975.6468
2019-07-14,992.8029
2019-07-15,1008.72424
2019-07-16,1020.7831
2019-07-17,1033.4725
2019-07-18,1047.6702
2019-07-19,1058.979
2019-07-20,1071.4808
2019-07-21,1076.3042
2019-07-22,1079.8982
2019-07-23,1079.7228
2019-07-24,1080.3513
2019-07-25,1082.7335
2019-07-26,1082.5361
2019-07-27,1083.8954
2019-07-28,1077.9854
2019-07-29,1071.2916
2019-07-30,1061.3018
2019-07-31,1052.6084
2019-08-01,1046.1732
2019-08-02,1037.6672
2019-08-03,1031.2253
2019-08-04,1018.0156
2019-08-05,1004.513
2019-08-06,988.1919
2019-08-07,973.63025
2019-08-08,961.7742
2019-08-09,948.2803
2019-08-10,937.27014
2019-08-11,919.90106
2019-08-12,902.6408
2019-08-13,882.96045
2019-08-14,865.4392
2019-08-15,851.0288
2019-08-16,835.39685
2019-08-17,822.68054
2019-08-18,804.05743
2019-08-19,786.0198
2019-08-20,766.06647
2019-08-21,748.8073
2019-08-22,735.2267
2019-08-23,721.02545
2019-08-24,710.37396
2019-08-25,694.481
2019-08-26,679.86804
2019-08-27,664.0588
2019-08-28,651.68304
2019-08-29,643.73944
2019-08-30,635.93567
2019-08-31,632.4412
2019-09-01,624.45593
2019-09-02,618.4828
2019-09-03,612.01855
2019-09-04,609.6566
2019-09-05,612.3502
2019-09-06,615.7531
2019-09-07,623.97327
2019-09-08,628.1418
2019-09-09,634.68713
2019-09-10,641.0267
2019-09-11,651.6716
2019-09-12,667.4905
2019-09-13,684.053
2019-09-14,705.38367
2019-09-15,722.5337
2019-09-16,741.85596
2019-09-17,760.69824
2019-09-18,783.5096
2019-09-19,811.1049
2019-09-20,839.00946
2019-09-21,871.2137
2019-09-22,898.74536
2019-09-23,927.94434
2019-09-24,956.15656
2019-09-25,987.83887
2019-09-26,1023.8239
2019-09-27,1059.663
2019-09-28,1099.3798
2019-09-29,1134.0408
2019-09-30,1170.0294
2019-10-01,1204.7363
2019-10-02,1242.6641
2019-10-03,1284.6885
2019-10-04,1326.4003
2019-10-05,1371.8573
2019-10-06,1412.1514
2019-10-07,1453.6818
2019-10-08,1493.8442
2019-10-09,1537.1333
2019-10-10,1584.4039
2019-10-11,1631.2112
2019-10-12,1681.5626
2019-10-13,1726.4862
2019-10-14,1772.3024
2019-10-15,1816.3157
2019-10-16,1862.9176
2019-10-17,1912.8496
2019-10-18,1961.5459
2019-10-19,2012.8868
2019-10-20,2057.7703
2019-10-21,2102.3872
2019-10-22,2143.9143
