Date,weekly runoff
2019-01-01,0.5482014
2019-01-02,0.31327385
2019-01-03,0.08644589
2019-01-04,0.13472988
2019-01-05,0.3489281
2019-01-06,0.55528367
2019-01-07,0.75309855
2019-01-08,0.9403162
2019-01-09,1.1210425
2019-01-10,1.2869058
2019-01-11,1.440781
2019-01-12,1.5819291
2019-01-13,1.7102149
2019-01-14,1.8257979
2019-01-15,1.9275867
2019-01-16,2.0207376
2019-01-17,2.09799
2019-01-18,2.1633668
2019-01-19,2.2172856
2019-01-20,2.2607524
2019-01-21,2.2950273
2019-01-22,2.3200524
2019-01-23,2.3419309
2019-01-24,2.3542407
2019-01-25,2.361718
2019-01-26,2.3653538
2019-01-27,2.3665786
2019-01-28,2.3669167
2019-01-29,2.366416
2019-01-30,2.3711224
2019-01-31,2.3744009
2019-02-01,2.3806243
2019-02-02,2.3902822
2019-02-03,2.4041781
2019-02-04,2.4231014
2019-02-05,2.446274
2019-02-06,2.478848
2019-02-07,2.5132442
2019-02-08,2.5528674
2019-02-09,2.5972338
2019-02-10,2.6461914
2019-02-11,2.699614
2019-02-12,2.7558656
2019-02-13,2.8193152
2019-02-14,2.8816926
2019-02-15,2.9458146
2019-02-16,3.0107224
2019-02-17,3.0759099
2019-02-18,3.1410196
2019-02-19,3.204309
2019-02-20,3.2701623
2019-02-21,3.3304415
2019-02-22,3.3882022
2019-02-23,3.4428236
2019-02-24,3.4942214
2019-02-25,3.5425308
2019-02-26,3.5865567
2019-02-27,3.6312687
2019-02-28,3.6691353
2019-03-01,3.703822
2019-03-02,3.7353058
2019-03-03,3.7640724
2019-03-04,3.7907841
2019-03-05,3.8147173
2019-03-06,3.8412473
2019-03-07,3.863173
2019-03-08,3.8844101
2019-03-09,3.9051
2019-03-10,3.9258063
2019-03-11,3.9471838
2019-03-12,3.9684193
2019-03-13,3.9947217
2019-03-14,4.0186543
2019-03-15,4.0438375
2019-03-16,4.070069
2019-03-17,4.0975294
2019-03-18,4.1264663
2019-03-19,4.1556487
2019-03-20,4.1898656
2019-03-21,4.2212763
2019-03-22,4.2531195
2019-03-23,4.284848
2019-03-24,4.316342
2019-03-25,4.347602
2019-03-26,4.3772054
2019-03-27,4.409817
2019-03-28,4.4375315
2019-03-29,4.463591
2019-03-30,4.487514
2019-03-31,4.5093045
2019-04-01,4.529142
2019-04-02,4.5458293
2019-04-03,4.5642934
2019-04-04,4.576923
2019-04-05,4.587271
2019-04-06,4.5951777
