Date,daily runoff
2019-01-01,0.3407287
2019-01-02,0.35715312
2019-01-03,0.35578606
2019-01-04,0.36981615
2019-01-05,0.37884566
2019-01-06,0.37595567
2019-01-07,0.38604668
2019-01-08,0.37562382
2019-01-09,0.38983697
2019-01-10,0.3872719
2019-01-11,0.40104306
2019-01-12,0.41064322
2019-01-13,0.4090136
2019-01-14,0.4208889
2019-01-15,0.4125893
2019-01-16,0.429067
2019-01-17,0.42870462
2019-01-18,0.44441554
2019-01-19,0.45550102
2019-01-20,0.45472702
2019-01-21,0.4666763
2019-01-22,0.45754564
2019-01-23,0.4721974
2019-01-24,0.46896198
2019-01-25,0.48073965
2019-01-26,0.48685968
2019-01-27,0.48015627
2019-01-28,0.4853189
2019-01-29,0.46868697
2019-01-30,0.47529674
2019-01-31,0.46367797
2019-02-01,0.4669504
2019-02-02,0.4646747
2019-02-03,0.44992155
2019-02-04,0.44761375
2019-02-05,0.42431304
2019-02-06,0.42525923
2019-02-07,0.4091603
2019-02-08,0.40928152
2019-02-09,0.40529194
2019-02-10,0.39032838
2019-02-11,0.38933513
2019-02-12,0.36884862
2019-02-13,0.3740371
2019-02-14,0.36349133
2019-02-15,0.37031743
2019-02-16,0.37398687
2019-02-17,0.3674065
2019-02-18,0.37526456
2019-02-19,0.36382335
2019-02-20,0.3779668
2019-02-21,0.37600017
2019-02-22,0.39075166
2019-02-23,0.40143114
2019-02-24,0.40070882
2019-02-25,0.41306895
2019-02-26,0.40460926
2019-02-27,0.42009434
2019-02-28,0.41775972
2019-03-01,0.4304165
2019-03-02,0.43731147
2019-03-03,0.43120545
2019-03-04,0.4367249
2019-03-05,0.42015806
2019-03-06,0.426503
2019-03-07,0.41426542
2019-03-08,0.41655543
2019-03-09,0.41293904
2019-03-10,0.39650697
2019-03-11,0.39221656
2019-03-12,0.36667767
2019-03-13,0.36519095
2019-03-14,0.34653613
2019-03-15,0.34406006
2019-03-16,0.3375205
2019-03-17,0.32014835
2019-03-18,0.31698483
2019-03-19,0.2946636
2019-03-20,0.2984479
2019-03-21,0.2870187
2019-03-22,0.2935647
2019-03-23,0.29763037
2019-03-24,0.29218337
2019-03-25,0.30195886
2019-03-26,0.29325014
2019-03-27,0.31095526
2019-03-28,0.3133756
2019-03-29,0.33331695
2019-03-30,0.34994835
2019-03-31,0.35588086
2019-04-01,0.3755225
2019-04-02,0.37487853
2019-04-03,0.39860702
2019-04-04,0.40482485
2019-04-05,0.42621464
2019-04-06,0.4418878
2019-04-07,0.44446573
2019-04-08,0.4584345
2019-04-09,0.4499442
2019-04-10,0.46386018
2019-04-11,0.45856372
2019-04-12,0.4670519
2019-04-13,0.46879148
2019-04-14,0.45679012
2019-04-15,0.4559403
2019-04-16,0.43280646
2019-04-17,0.43266454
2019-04-18,0.41429034
2019-04-19,0.4110479
2019-04-20,0.40273243
2019-04-21,0.3826315
2019-04-22,0.37586057
2019-04-23,0.34914318
2019-04-24,0.34784526
