Date,Discharge
2019-01-01,727.46326
2019-01-02,687.10077
2019-01-03,697.2432
2019-01-04,659.34906
2019-01-05,638.2363
2019-01-06,652.72504
2019-01-07,630.4758
2019-01-08,666.2655
2019-01-09,631.1313
2019-01-10,643.03357
2019-01-11,603.6836
2019-01-12,578.2664
2019-01-13,586.0696
2019-01-14,555.30536
2019-01-15,581.3665
2019-01-16,535.949
2019-01-17,537.6909
2019-01-18,488.97705
2019-01-19,455.6373
2019-01-20,457.55283
2019-01-21,423.45697
2019-01-22,449.17218
2019-01-23,406.71658
2019-01-24,414.931
2019-01-25,376.27505
2019-01-26,356.5213
2019-01-27,375.36197
2019-01-28,361.21463
2019-01-29,409.46796
2019-01-30,391.60184
2019-01-31,425.83072
2019-02-01,413.9197
2019-02-02,420.90106
2019-02-03,465.70486
2019-02-04,475.9899
2019-02-05,546.4146
2019-02-06,547.78186
2019-02-07,597.7053
2019-02-08,597.4467
2019-02-09,611.6505
2019-02-10,658.989
2019-02-11,667.0037
2019-02-12,730.3826
2019-02-13,720.10657
2019-02-14,754.1123
2019-02-15,734.12213
2019-02-16,725.3658
2019-02-17,747.2093
2019-02-18,727.9762
2019-02-19,763.20166
2019-02-20,724.7531
2019-02-21,731.466
2019-02-22,685.9455
2019-02-23,654.2609
2019-02-24,656.54706
2019-02-25,621.8011
2019-02-26,646.1139
2019-02-27,601.7711
2019-02-28,607.87524
2019-03-01,567.1357
2019-03-02,545.5576
2019-03-03,563.0435
2019-03-04,548.19385
2019-03-05,596.5485
2019-03-06,579.70294
2019-03-07,615.9488
2019-03-08,607.0869
2019-03-09,618.14325
2019-03-10,667.9987
2019-03-11,684.2205
2019-03-12,761.3349
2019-03-13,769.97437
2019-03-14,827.5482
2019-03-15,835.08374
2019-03-16,856.9668
2019-03-17,911.5931
2019-03-18,926.2162
2019-03-19,995.23285
2019-03-20,989.3361
2019-03-21,1026.1871
2019-03-22,1007.2521
2019-03-23,997.53143
2019-03-24,1016.19635
2019-03-25,991.41614
2019-03-26,1018.6177
2019-03-27,969.6107
2019-03-28,963.22784
2019-03-29,902.1275
2019-03-30,852.48926
2019-03-31,834.61554
2019-04-01,777.7257
2019-04-02,778.18427
2019-04-03,708.5977
2019-04-04,688.4301
2019-04-05,620.78613
2019-04-06,572.0921
2019-04-07,562.68884
2019-04-08,521.62244
2019-04-09,544.8764
2019-04-10,504.47772
2019-04-11,519.1275
2019-04-12,491.00546
2019-04-13,485.4761
2019-04-14,521.7115
2019-04-15,527.5155
2019-04-16,597.5913
2019-04-17,602.6843
2019-04-18,660.2501
2019-04-19,671.29517
2019-04-20,700.1177
2019-04-21,764.9614
2019-04-22,792.86816
2019-04-23,877.9678
2019-04-24,890.63873
2019-04-25,948.18787
2019-04-26,951.6961
2019-04-27,965.75806
2019-04-28,1009.12836
2019-04-29,1009.5597
2019-04-30,1062.0731
2019-05-01,1038.0929
2019-05-02,1056.0963
2019-05-03,1018.4254
2019-05-04,990.99
2019-05-05,993.8752
2019-05-06,956.1405
2019-05-07,974.05133
2019-05-08,920.1768
2019-05-09,914.0057
2019-05-10,858.72675
2019-05-11,820.9064
2019-05-12,821.07605
2019-05-13,788.5164
2019-05-14,819.4811
2019-05-15,786.294
2019-05-16,807.9701
2019-05-17,787.0096
2019-05-18,789.09344
2019-05-19,833.69586
2019-05-20,848.89856
2019-05-21,929.64874
2019-05-22,946.89374
2019-05-23,1018.2419
2019-05-24,1044.7971
2019-05-25,1090.896
2019-05-26,1174.7588
2019-05-27,1223.3414
2019-05-28,1330.6262
2019-05-29,1366.7864
2019-05-30,1448.869
2019-05-31,1477.6482
2019-06-01,1517.3722
2019-06-02,1586.4181
2019-06-03,1612.1404
2019-06-04,1689.1517
2019-06-05,1688.4691
2019-06-06,1728.1747
2019-06-07,1710.2383
2019-06-08,1700.2314
2019-06-09,1717.9448
2019-06-10,1692.195
2019-06-11,1719.0642
2019-06-12,1671.0046
2019-06-13,1667.4564
2019-06-14,1611.6329
2019-06-15,1570.1978
2019-06-16,1563.8501
2019-06-17,1522.1075
2019-06-18,1541.5244
2019-06-19,1494.7819
2019-06-20,1501.302
2019-06-21,1464.0322
2019-06-22,1449.1316
2019-06-23,1476.5726
2019-06-24,1474.9443
2019-06-25,1539.6993
2019-06-26,1542.2788
2019-06-27,1600.762
2019-06-28,1616.6924
2019-06-29,1654.8068
2019-06-30,1733.6787
2019-07-01,1780.5654
2019-07-02,1889.6953
2019-07-03,1931.4292
2019-07-04,2022.9436
2019-07-05,2065.0847
2019-07-06,2122.1182
2019-07-07,2212.3884
2019-07-08,2263.1714
2019-07-09,2368.9624
2019-07-10,2400.6296
2019-07-11,2476.0823
2019-07-12,2497.0996
2019-07-13,2529.0554
2019-07-14,2591.539
2019-07-15,2613.1729
2019-07-16,2689.853
2019-07-17,2693.8623
2019-07-18,2744.4883
2019-07-19,2744.812
2019-07-20,2761.3828
2019-07-21,2814.8052
2019-07-22,2834.5151
2019-07-23,2916.995
2019-07-24,2934.8586
2019-07-25,3007.4553
2019-07-26,3037.6487
2019-07-27,3091.4924
2019-07-28,3188.823
2019-07-29,3258.055
2019-07-30,3394.4175
2019-07-31,3469.0725
2019-08-01,3599.7566
2019-08-02,3687.6025
2019-08-03,3796.8643
2019-08-04,3945.5596
2019-08-05,4060.3171
2019-08-06,4234.668
2019-08-07,4338.212
