Date,weekly runoff
2019-01-01,2.3028352
2019-01-02,2.3741403
2019-01-03,2.4346387
2019-01-04,2.4877677
2019-01-05,2.5350296
2019-01-06,2.5769072
2019-01-07,2.6144836
2019-01-08,2.6514375
2019-01-09,2.6874752
2019-01-10,2.7191954
2019-01-11,2.7503066
2019-01-12,2.7823231
2019-01-13,2.8154814
2019-01-14,2.850373
2019-01-15,2.8899565
2019-01-16,2.9330187
2019-01-17,2.975075
2019-01-18,3.0186245
2019-01-19,3.0638924
2019-01-20,3.109793
2019-01-21,3.1556106
2019-01-22,3.203062
2019-01-23,3.2498014
2019-01-24,3.290364
2019-01-25,3.3264594
2019-01-26,3.357744
2019-01-27,3.3828087
2019-01-28,3.4008741
2019-01-29,3.4138606
2019-01-30,3.419889
2019-01-31,3.4142153
2019-02-01,3.3995006
2019-02-02,3.3765569
2019-02-03,3.3452976
2019-02-04,3.3063922
2019-02-05,3.2632878
2019-02-06,3.2156615
2019-02-07,3.1603012
2019-02-08,3.1013258
2019-02-09,3.0408785
2019-02-10,2.9800339
2019-02-11,2.9204073
2019-02-12,2.866143
2019-02-13,2.8173378
2019-02-14,2.7709029
2019-02-15,2.7307737
2019-02-16,2.6986039
2019-02-17,2.6746798
2019-02-18,2.6595514
2019-02-19,2.6560476
2019-02-20,2.662737
2019-02-21,2.674834
2019-02-22,2.6944594
2019-02-23,2.7213879
2019-02-24,2.7540212
2019-02-25,2.7910771
2019-02-26,2.8336637
2019-02-27,2.8787947
2019-02-28,2.9203463
2019-03-01,2.9593632
2019-03-02,2.9948435
2019-03-03,3.0247426
2019-03-04,3.0476773
2019-03-05,3.0650122
2019-03-06,3.0743701
2019-03-07,3.0705795
2019-03-08,3.0559518
2019-03-09,3.031036
2019-03-10,2.995577
2019-03-11,2.9501717
2019-03-12,2.8982942
2019-03-13,2.8397472
2019-03-14,2.7715409
2019-03-15,2.6981075
2019-03-16,2.6219873
2019-03-17,2.5447273
2019-03-18,2.4684775
2019-03-19,2.3979676
2019-03-20,2.3339143
2019-03-21,2.2738678
2019-03-22,2.2224052
2019-03-23,2.1818068
2019-03-24,2.1529534
2019-03-25,2.1369395
2019-03-26,2.1370745
2019-03-27,2.1523266
2019-03-28,2.1782172
2019-03-29,2.217068
2019-03-30,2.2687433
2019-03-31,2.331614
2019-04-01,2.404245
2019-04-02,2.4874668
2019-04-03,2.5778966
2019-04-04,2.6688988
2019-04-05,2.7608995
2019-04-06,2.8521852
2019-04-07,2.939917
2019-04-08,3.0218558
2019-04-09,3.0984616
2019-04-10,3.1664274
2019-04-11,3.2196455
2019-04-12,3.2595062
2019-04-13,3.2856734
2019-04-14,3.2970624
2019-04-15,3.2935152
2019-04-16,3.2778447
2019-04-17,3.2492988
2019-04-18,3.2044535
2019-04-19,3.1474366
2019-04-20,3.080621
2019-04-21,3.0055246
2019-04-22,2.9244084
2019-04-23,2.8422475
2019-04-24,2.7601316
2019-04-25,2.6761014
2019-04-26,2.595326
2019-04-27,2.5207648
2019-04-28,2.454045
2019-04-29,2.3970559
2019-04-30,2.3539252
2019-05-01,2.3244433
2019-05-02,2.3049343
2019-05-03,2.2984812
2019-05-04,2.3056476
2019-05-05,2.3254235
2019-05-06,2.3568945
2019-05-07,2.4013026
2019-05-08,2.4555523
2019-05-09,2.513169
2019-05-10,2.574607
2019-05-11,2.6380486
2019-05-12,2.7004254
2019-05-13,2.7591484
2019-05-14,2.8142214
2019-05-15,2.8617895
2019-05-16,2.8951204
2019-05-17,2.914929
2019-05-18,2.9201698
2019-05-19,2.9090407
2019-05-20,2.880682
2019-05-21,2.8372433
2019-05-22,2.7773716
2019-05-23,2.6971264
2019-05-24,2.600221
2019-05-25,2.488735
2019-05-26,2.3640256
2019-05-27,2.2283382
2019-05-28,2.0867817
2019-05-29,1.9407313
2019-05-30,1.7886631
2019-05-31,1.6363261
2019-06-01,1.4873905
2019-06-02,1.3443141
2019-06-03,1.2099154
2019-06-04,1.0893314
2019-06-05,0.9834165
2019-06-06,0.88958824
2019-06-07,0.8120266
2019-06-08,0.752366
2019-06-09,0.71061546
2019-06-10,0.68680143
2019-06-11,0.68300253
2019-06-12,0.69683427
2019-06-13,0.7223866
2019-06-14,0.7605168
2019-06-15,0.8096359
2019-06-16,0.8667199
2019-06-17,0.9290388
2019-06-18,0.9962694
2019-06-19,1.0640482
2019-06-20,1.1249642
2019-06-21,1.1788945
2019-06-22,1.2238164
2019-06-23,1.2568303
2019-06-24,1.275883
2019-06-25,1.2818588
2019-06-26,1.2720951
2019-06-27,1.2413237
2019-06-28,1.1919413
2019-06-29,1.1247461
2019-06-30,1.0398759
2019-07-01,0.93843925
2019-07-02,0.82451284
2019-07-03,0.69856036
2019-07-04,0.55828
2019-07-05,0.40878552
2019-07-06,0.25326154
2019-07-07,0.09382878
2019-07-08,0.066883504
2019-07-09,0.22378728
2019-07-10,0.37594637
2019-07-11,0.52574366
2019-07-12,0.6686972
2019-07-13,0.8027849
2019-07-14,0.92754364
2019-07-15,1.0424448
2019-07-16,1.1448784
2019-07-17,1.2366861
2019-07-18,1.3232405
2019-07-19,1.4031662
2019-07-20,1.4775647
2019-07-21,1.5490116
2019-07-22,1.6198331
2019-07-23,1.6899942
2019-07-24,1.763543
2019-07-25,1.8476119
2019-07-26,1.9420729
2019-07-27,2.0487115
2019-07-28,2.1701891
2019-07-29,2.3083012
2019-07-30,2.4618673
2019-07-31,2.6331944
2019-08-01,2.8271163
2019-08-02,3.0407028
2019-08-03,3.272505
2019-08-04,3.5216036
2019-08-05,3.785962
2019-08-06,4.0604258
2019-08-07,4.3432946
2019-08-08,4.635481
2019-08-09,4.930332
2019-08-10,5.222992
2019-08-11,5.5095487
2019-08-12,5.7854896
2019-08-13,6.0437827
2019-08-14,6.281514
2019-08-15,6.4991016
2019-08-16,6.690148
2019-08-17,6.8508115
2019-08-18,6.9789534
2019-08-19,7.0725565
2019-08-20,7.127757
2019-08-21,7.1454215
2019-08-22,7.1302676
2019-08-23,7.080617
2019-08-24,6.9976583
2019-08-25,6.8844614
2019-08-26,6.7442746
2019-08-27,6.578419
2019-08-28,6.392735
2019-08-29,6.1965685
2019-08-30,5.9924126
