Date,daily runoff
2019-01-01,1.4861339
2019-01-02,1.4940647
2019-01-03,1.4871316
2019-01-04,1.4725521
2019-01-05,1.4770118
2019-01-06,1.4937102
2019-01-07,1.5062764
2019-01-08,1.4821718
2019-01-09,1.4831421
2019-01-10,1.4693649
2019-01-11,1.4482027
2019-01-12,1.4464829
2019-01-13,1.4575378
2019-01-14,1.465119
2019-01-15,1.4367968
2019-01-16,1.4344089
2019-01-17,1.4182065
2019-01-18,1.3956059
2019-01-19,1.3934665
2019-01-20,1.4051313
2019-01-21,1.4143406
2019-01-22,1.3886311
2019-01-23,1.3897873
2019-01-24,1.3779874
2019-01-25,1.3605572
2019-01-26,1.3642509
2019-01-27,1.3822936
2019-01-28,1.3982973
2019-01-29,1.3796643
2019-01-30,1.3880402
2019-01-31,1.383464
2019-02-01,1.373125
2019-02-02,1.3836452
2019-02-03,1.4081261
2019-02-04,1.4300672
2019-02-05,1.4167705
2019-02-06,1.4297962
2019-02-07,1.4291143
2019-02-08,1.4218628
2019-02-09,1.4346306
2019-02-10,1.4605047
2019-02-11,1.4829881
2019-02-12,1.469405
2019-02-13,1.4813553
2019-02-14,1.4788643
2019-02-15,1.4691396
2019-02-16,1.4788533
2019-02-17,1.501186
2019-02-18,1.5197434
2019-02-19,1.5019583
2019-02-20,1.5095433
2019-02-21,1.5026382
2019-02-22,1.4885639
2019-02-23,1.494103
2019-02-24,1.5125403
2019-02-25,1.5275788
2019-02-26,1.5067387
2019-02-27,1.5118085
2019-02-28,1.5029905
2019-03-01,1.4876547
2019-03-02,1.492616
2019-03-03,1.5111773
2019-03-04,1.527041
2019-03-05,1.5077106
2019-03-06,1.5149415
2019-03-07,1.5088859
2019-03-08,1.4968477
2019-03-09,1.5055621
2019-03-10,1.5282366
2019-03-11,1.5484679
2019-03-12,1.5336424
2019-03-13,1.5453899
2019-03-14,1.5437309
2019-03-15,1.5358336
2019-03-16,1.5482949
2019-03-17,1.5741862
2019-03-18,1.5969709
2019-03-19,1.5839088
2019-03-20,1.5965118
2019-03-21,1.5946945
2019-03-22,1.5855331
2019-03-23,1.5955497
2019-03-24,1.6177596
2019-03-25,1.6355909
2019-03-26,1.6162916
2019-03-27,1.6213852
2019-03-28,1.6108238
2019-03-29,1.5917464
2019-03-30,1.5907642
2019-03-31,1.6010071
2019-04-01,1.6060431
2019-04-02,1.5732826
2019-04-03,1.5644339
2019-04-04,1.539652
2019-04-05,1.5062958
2019-04-06,1.4912083
2019-04-07,1.4877603
2019-04-08,1.4797646
2019-04-09,1.4348766
2019-04-10,1.4150442
2019-04-11,1.3806522
2019-04-12,1.3392742
2019-04-13,1.3179475
2019-04-14,1.3102125
2019-04-15,1.3000222
2019-04-16,1.2551386
2019-04-17,1.2375789
2019-04-18,1.207757
2019-04-19,1.173233
2019-04-20,1.1609873
2019-04-21,1.164458
2019-04-22,1.1674525
2019-04-23,1.1375431
2019-04-24,1.1365179
2019-04-25,1.1245239
2019-04-26,1.1088212
2019-04-27,1.1160617
2019-04-28,1.1393342
2019-04-29,1.1620802
2019-04-30,1.1514993
2019-05-01,1.1690053
2019-05-02,1.1743798
2019-05-03,1.1745325
2019-05-04,1.1957898
2019-05-05,1.2309458
2019-05-06,1.2631875
2019-05-07,1.2595055
2019-05-08,1.281157
2019-05-09,1.2878237
2019-05-10,1.2863767
2019-05-11,1.3031673
2019-05-12,1.3310795
2019-05-13,1.3534542
2019-05-14,1.3375002
2019-05-15,1.3447521
2019-05-16,1.3352244
2019-05-17,1.3161708
2019-05-18,1.3143668
2019-05-19,1.3231552
2019-05-20,1.3263593
2019-05-21,1.2916846
2019-05-22,1.2811655
2019-05-23,1.2553086
2019-05-24,1.2218401
2019-05-25,1.2079782
2019-05-26,1.2074664
2019-05-27,1.2044784
2019-05-28,1.1670096
2019-05-29,1.1573166
2019-05-30,1.1360534
2019-05-31,1.1110151
2019-06-01,1.109405
2019-06-02,1.1248693
2019-06-03,1.1414012
2019-06-04,1.1267345
2019-06-05,1.142789
2019-06-06,1.1498125
2019-06-07,1.1551319
2019-06-08,1.1854326
2019-06-09,1.2338006
2019-06-10,1.2836428
2019-06-11,1.3020912
2019-06-12,1.3504633
2019-06-13,1.388418
2019-06-14,1.4227207
2019-06-15,1.4795362
2019-06-16,1.5514846
2019-06-17,1.6215721
2019-06-18,1.6566069
2019-06-19,1.7176684
2019-06-20,1.7642691
2019-06-21,1.8031259
2019-06-22,1.8604554
2019-06-23,1.9290295
2019-06-24,1.9921051
2019-06-25,2.0168352
2019-06-26,2.0647311
2019-06-27,2.0958164
2019-06-28,2.1173868
2019-06-29,2.1562917
2019-06-30,2.2059777
2019-07-01,2.2504003
2019-07-02,2.2574217
2019-07-03,2.2892532
2019-07-04,2.3065937
2019-07-05,2.3173723
2019-07-06,2.349015
2019-07-07,2.3954716
2019-07-08,2.4411156
2019-07-09,2.4541273
2019-07-10,2.4969301
2019-07-11,2.5303195
2019-07-12,2.5622
2019-07-13,2.6198514
2019-07-14,2.6969545
2019-07-15,2.7774944
2019-07-16,2.8291512
2019-07-17,2.9137414
2019-07-18,2.9913602
2019-07-19,3.069132
2019-07-20,3.173489
2019-07-21,3.297216
2019-07-22,3.4233704
2019-07-23,3.5186913
2019-07-24,3.644062
2019-07-25,3.7586691
2019-07-26,3.8687737
2019-07-27,4.000006
2019-07-28,4.1444297
2019-07-29,4.284475
2019-07-30,4.386361
2019-07-31,4.5105715
2019-08-01,4.6160192
2019-08-02,4.7088265
2019-08-03,4.8146214
2019-08-04,4.9256024
2019-08-05,5.0244684
2019-08-06,5.0778394
2019-08-07,5.1467195
2019-08-08,5.190654
2019-08-09,5.216497
2019-08-10,5.2506933
2019-08-11,5.286327
2019-08-12,5.3070345
2019-08-13,5.280405
2019-08-14,5.2684293
2019-08-15,5.2316356
2019-08-16,5.1778383
2019-08-17,5.134405
2019-08-18,5.0952864
2019-08-19,5.0449157
2019-08-20,4.9515977
2019-08-21,4.8779426
2019-08-22,4.7849965
2019-08-23,4.6809826
2019-08-24,4.5935636
2019-08-25,4.51687
2019-08-26,4.4354033
2019-08-27,4.317422
2019-08-28,4.2253876
2019-08-29,4.1200995
2019-08-30,4.009445
2019-08-31,3.9206748
2019-09-01,3.8474398
2019-09-02,3.7737112
2019-09-03,3.6671798
2019-09-04,3.589713
2019-09-05,3.5015066
2019-09-06,3.4098465
2019-09-07,3.341397
2019-09-08,3.2892537
2019-09-09,3.236868
2019-09-10,3.151459
2019-09-11,3.0944781
2019-09-12,3.0257668
2019-09-13,2.9523225
2019-09-14,2.9005885
2019-09-15,2.8635073
2019-09-16,2.824445
2019-09-17,2.7506013
2019-09-18,2.7034671
2019-09-19,2.6429784
2019-09-20,2.5762742
2019-09-21,2.5299814
2019-09-22,2.4972572
2019-09-23,2.4617064
2019-09-24,2.3907804
2019-09-25,2.3462288
2019-09-26,2.2882433
2019-09-27,2.2242084
2019-09-28,2.1809778
2019-09-29,2.1519122
2019-09-30,2.1207895
2019-10-01,2.0552025
2019-10-02,2.017004
2019-10-03,1.966451
2019-10-04,1.910956
2019-10-05,1.8773612
2019-10-06,1.8589803
2019-10-07,1.8395115
2019-10-08,1.7864368
2019-10-09,1.7614747
2019-10-10,1.7247275
2019-10-11,1.6834377
2019-10-12,1.6642693
2019-10-13,1.6603545
2019-10-14,1.6552124
2019-10-15,1.616154
2019-10-16,1.6047393
2019-10-17,1.580929
2019-10-18,1.551845
2019-10-19,1.544054
2019-10-20,1.5506166
2019-10-21,1.5550069
2019-10-22,1.5245179
2019-10-23,1.520718
2019-10-24,1.5036011
2019-10-25,1.4803454
2019-10-26,1.477594
2019-10-27,1.4885005
2019-10-28,1.4966447
2019-10-29,1.4694349
2019-10-30,1.4685585
2019-10-31,1.4541303
2019-11-01,1.4334441
2019-11-02,1.433252
