Date,Discharge
2019-01-01,2133.45
2019-01-02,2140.8435
2019-01-03,2126.6638
2019-01-04,2100.0325
2019-01-05,2100.153
2019-01-06,2123.0933
2019-01-07,2136.314
2019-01-08,2098.2305
2019-01-09,2095.642
2019-01-10,2072.1006
2019-01-11,2036.9087
2019-01-12,2029.4366
2019-01-13,2045.9001
2019-01-14,2053.8875
2019-01-15,2011.9167
2019-01-16,2006.8638
2019-01-17,1982.3296
2019-01-18,1947.636
2019-01-19,1942.1439
2019-01-20,1962.0305
2019-01-21,1974.818
2019-01-22,1938.9323
2019-01-23,1941.1322
2019-01-24,1924.8811
2019-01-25,1899.3445
2019-01-26,1903.7126
2019-01-27,1933.9807
2019-01-28,1957.4816
2019-01-29,1932.4489
2019-01-30,1945.45
2019-01-31,1939.7611
2019-02-01,1924.3695
2019-02-02,1938.2986
2019-02-03,1977.3917
2019-02-04,2008.8473
2019-02-05,1990.7852
2019-02-06,2009.6799
2019-02-07,2008.739
2019-02-08,1996.9042
2019-02-09,2013.1782
2019-02-10,2053.4082
2019-02-11,2084.82
2019-02-12,2065.5835
2019-02-13,2082.2446
2019-02-14,2078.1018
2019-02-15,2062.2048
2019-02-16,2073.6797
2019-02-17,2108.5088
2019-02-18,2134.063
2019-02-19,2108.663
2019-02-20,2119.0107
2019-02-21,2108.559
2019-02-22,2086.5117
2019-02-23,2092.1418
2019-02-24,2121.5715
2019-02-25,2142.3003
2019-02-26,2112.765
2019-02-27,2119.7664
2019-02-28,2106.841
2019-03-01,2083.2551
2019-03-02,2088.325
2019-03-03,2118.1934
2019-03-04,2140.3584
2019-03-05,2113.2317
2019-03-06,2123.5671
2019-03-07,2114.83
2019-03-08,2096.1943
2019-03-09,2106.8625
2019-03-10,2142.844
2019-03-11,2171.4856
2019-03-12,2151.0327
2019-03-13,2168.0586
2019-03-14,2165.8386
2019-03-15,2153.3496
2019-03-16,2169.5935
2019-03-17,2210.379
2019-03-18,2242.8564
2019-03-19,2225.083
2019-03-20,2243.4558
2019-03-21,2241.0908
2019-03-22,2226.826
2019-03-23,2239.5479
2019-03-24,2274.979
2019-03-25,2300.2148
2019-03-26,2273.2908
2019-03-27,2280.6204
2019-03-28,2265.374
2019-03-29,2236.4832
2019-03-30,2232.9695
2019-03-31,2250.7288
2019-04-01,2257.0688
2019-04-02,2210.2747
2019-04-03,2197.0413
2019-04-04,2160.851
2019-04-05,2110.9722
2019-04-06,2086.7817
2019-04-07,2084.5454
2019-04-08,2071.9458
2019-04-09,2007.6422
2019-04-10,1978.6958
2019-04-11,1928.9373
2019-04-12,1867.9591
2019-04-13,1835.4303
2019-04-14,1827.8674
2019-04-15,1813.1578
2019-04-16,1750.1113
2019-04-17,1725.8807
2019-04-18,1684.3246
2019-04-19,1634.997
2019-04-20,1617.4584
2019-04-21,1628.0491
2019-04-22,1634.4104
2019-04-23,1595.0408
2019-04-24,1596.7196
2019-04-25,1582.8761
2019-04-26,1562.5852
2019-04-27,1574.8889
2019-04-28,1615.5767
2019-04-29,1651.7198
2019-04-30,1641.2379
2019-05-01,1670.3353
2019-05-02,1681.883
2019-05-03,1684.4269
2019-05-04,1716.5204
2019-05-05,1773.5195
2019-05-06,1822.1265
2019-05-07,1819.9663
2019-05-08,1853.0331
2019-05-09,1864.078
2019-05-10,1861.6226
2019-05-11,1884.2964
2019-05-12,1927.631
2019-05-13,1958.6038
2019-05-14,1935.2107
2019-05-15,1943.9066
2019-05-16,1927.9857
2019-05-17,1896.5847
2019-05-18,1889.0087
2019-05-19,1901.5107
2019-05-20,1901.8217
2019-05-21,1848.706
2019-05-22,1829.386
2019-05-23,1787.904
2019-05-24,1734.1095
2019-05-25,1707.9673
2019-05-26,1706.3217
2019-05-27,1697.4113
2019-05-28,1640.4119
2019-05-29,1622.8497
2019-05-30,1588.955
2019-05-31,1548.6412
2019-06-01,1541.8121
2019-06-02,1565.123
2019-06-03,1586.4988
2019-06-04,1564.6819
2019-06-05,1586.6531
2019-06-06,1595.996
2019-06-07,1601.8906
2019-06-08,1643.434
2019-06-09,1716.421
2019-06-10,1787.8804
2019-06-11,1815.6436
2019-06-12,1885.7859
2019-06-13,1941.0125
2019-06-14,1989.673
2019-06-15,2070.102
2019-06-16,2177.4187
2019-06-17,2278.0793
2019-06-18,2329.4622
2019-06-19,2417.3198
2019-06-20,2484.1755
2019-06-21,2538.3425
2019-06-22,2618.2688
2019-06-23,2719.3352
2019-06-24,2808.4045
2019-06-25,2843.3977
2019-06-26,2910.7358
2019-06-27,2953.7224
2019-06-28,2981.5452
2019-06-29,3033.6016
2019-06-30,3106.276
2019-07-01,3167.464
2019-07-02,3176.1272
2019-07-03,3219.7073
2019-07-04,3242.485
2019-07-05,3254.5596
2019-07-06,3296.1482
2019-07-07,3364.344
2019-07-08,3427.6226
2019-07-09,3445.3765
2019-07-10,3505.3215
2019-07-11,3551.842
2019-07-12,3594.9658
2019-07-13,3674.662
2019-07-14,3787.6006
2019-07-15,3901.6628
2019-07-16,3975.4885
2019-07-17,4095.8928
2019-07-18,4206.23
2019-07-19,4315.387
2019-07-20,4462.1045
2019-07-21,4641.7583
2019-07-22,4820.899
2019-07-23,4956.8247
2019-07-24,5135.024
2019-07-25,5297.5703
2019-07-26,5452.137
2019-07-27,5636.3486
2019-07-28,5844.581
2019-07-29,6042.526
2019-07-30,6186.779
2019-07-31,6362.2954
2019-08-01,6510.8013
2019-08-02,6639.81
2019-08-03,6786.9805
2019-08-04,6946.9155
2019-08-05,7085.7217
2019-08-06,7160.589
2019-08-07,7257.236
2019-08-08,7318.301
2019-08-09,7352.3496
2019-08-10,7398.2017
2019-08-11,7451.715
2019-08-12,7480.315
2019-08-13,7442.552
2019-08-14,7425.5234
2019-08-15,7373.234
2019-08-16,7295.5806
2019-08-17,7232.6553
2019-08-18,7181.5093
2019-08-19,7110.6606
2019-08-20,6979.634
2019-08-21,6876.368
2019-08-22,6745.5674
2019-08-23,6597.6753
2019-08-24,6473.1763
2019-08-25,6369.353
2019-08-26,6254.802
2019-08-27,6088.973
2019-08-28,5959.5923
2019-08-29,5811.015
2019-08-30,5653.2188
2019-08-31,5526.1187
2019-09-01,5426.3433
2019-09-02,5321.7617
2019-09-03,5171.053
2019-09-04,5061.1333
2019-09-05,4935.5425
2019-09-06,4803.444
2019-09-07,4703.9624
2019-09-08,4632.974
2019-09-09,4557.6494
2019-09-10,4436.03
2019-09-11,4354.4717
2019-09-12,4256.0327
2019-09-13,4149.4854
2019-09-14,4073.6514
2019-09-15,4024.1924
2019-09-16,3968.156
2019-09-17,3863.5435
2019-09-18,3796.75
2019-09-19,3710.9446
2019-09-20,3615.0718
2019-09-21,3548.1787
2019-09-22,3506.195
2019-09-23,3456.4656
2019-09-24,3357.3088
2019-09-25,3295.445
2019-09-26,3214.366
2019-09-27,3123.3257
2019-09-28,3061.6594
2019-09-29,3025.5557
2019-09-30,2982.5813
2019-10-01,2891.237
2019-10-02,2838.3794
2019-10-03,2767.5898
2019-10-04,2688.1655
2019-10-05,2639.4373
2019-10-06,2617.546
2019-10-07,2589.9707
2019-10-08,2515.0867
2019-10-09,2479.5964
2019-10-10,2426.9014
2019-10-11,2366.1016
2019-10-12,2336.3203
2019-10-13,2333.4856
2019-10-14,2324.8662
2019-10-15,2268.6367
2019-10-16,2251.3118
2019-10-17,2216.1252
2019-10-18,2172.033
2019-10-19,2158.0398
2019-10-20,2169.985
2019-10-21,2175.0776
2019-10-22,2131.4626
2019-10-23,2125.6555
2019-10-24,2100.9172
2019-10-25,2066.2559
2019-10-26,2060.7505
2019-10-27,2080.3328
2019-10-28,2092.317
2019-10-29,2054.9636
2019-10-30,2054.9072
2019-10-31,2035.5283
2019-11-01,2005.9504
2019-11-02,2005.3597
2019-11-03,2029.7819
2019-11-04,2046.6122
2019-11-05,2014.1735
2019-11-06,2019.1445
