Date,flood runoff
2019-01-01,2.2631943
2019-01-02,2.15793
2019-01-03,2.234362
2019-01-04,2.2255208
2019-01-05,2.2671852
2019-01-06,2.3264756
2019-01-07,2.3732805
2019-01-08,2.3624477
2019-01-09,2.2696977
2019-01-10,2.356381
2019-01-11,2.355179
2019-01-12,2.4016016
2019-01-13,2.46259
2019-01-14,2.5079465
2019-01-15,2.4925292
2019-01-16,2.3921661
2019-01-17,2.4684076
2019-01-18,2.4542232
2019-01-19,2.4854872
2019-01-20,2.529574
2019-01-21,2.5567703
2019-01-22,2.5224595
2019-01-23,2.403016
2019-01-24,2.4605422
2019-01-25,2.4285474
2019-01-26,2.4434202
2019-01-27,2.4730027
2019-01-28,2.487994
2019-01-29,2.4441178
2019-01-30,2.318008
2019-01-31,2.371939
2019-02-01,2.3394985
2019-02-02,2.3570569
2019-02-03,2.3923438
2019-02-04,2.4158542
2019-02-05,2.3830233
2019-02-06,2.270121
2019-02-07,2.3389933
2019-02-08,2.3227491
2019-02-09,2.3572426
2019-02-10,2.4096696
2019-02-11,2.4499862
2019-02-12,2.4331021
2019-02-13,2.3347921
2019-02-14,2.4164505
2019-02-15,2.410793
2019-02-16,2.4533527
2019-02-17,2.5110822
2019-02-18,2.5537827
2019-02-19,2.5363014
2019-02-20,2.4344437
2019-02-21,2.5097268
2019-02-22,2.4950786
2019-02-23,2.5263238
2019-02-24,2.5707812
2019-02-25,2.5986774
2019-02-26,2.5653324
2019-02-27,2.4470565
2019-02-28,2.5058887
2019-03-01,2.4752781
2019-03-02,2.4915555
2019-03-03,2.5225117
2019-03-04,2.538801
2019-03-05,2.496109
2019-03-06,2.3710406
2019-03-07,2.4258487
2019-03-08,2.3941085
2019-03-09,2.412186
2019-03-10,2.447814
2019-03-11,2.4714987
2019-03-12,2.4386914
2019-03-13,2.325684
2019-03-14,2.3943474
2019-03-15,2.377818
2019-03-16,2.4119794
2019-03-17,2.4640555
2019-03-18,2.5040288
2019-03-19,2.4868336
2019-03-20,2.3882642
2019-03-21,2.4697306
2019-03-22,2.4639597
2019-03-23,2.5064883
2019-03-24,2.5642688
2019-03-25,2.6070964
2019-03-26,2.589807
2019-03-27,2.4881897
2019-03-28,2.5637429
2019-03-29,2.5493715
2019-03-30,2.5808783
2019-03-31,2.6255565
2019-04-01,2.6536105
2019-04-02,2.6203392
2019-04-03,2.5020351
2019-04-04,2.5607238
2019-04-05,2.5298452
2019-04-06,2.5457275
2019-04-07,2.5761652
2019-04-08,2.591821
2019-04-09,2.5483963
2019-04-10,2.4225183
2019-04-11,2.4764655
2019-04-12,2.4438443
2019-04-13,2.4610546
2019-04-14,2.4958658
2019-04-15,2.5188203
2019-04-16,2.4854052
2019-04-17,2.3719459
2019-04-18,2.4403427
2019-04-19,2.4237564
2019-04-20,2.4580884
2019-04-21,2.5105724
2019-04-22,2.5511935
2019-04-23,2.5348778
2019-04-24,2.4374044
2019-04-25,2.5201576
2019-04-26,2.51583
2019-04-27,2.5599172
2019-04-28,2.6193228
2019-04-29,2.6637886
2019-04-30,2.648093
2019-05-01,2.5479665
2019-05-02,2.6248481
2019-05-03,2.6115875
2019-05-04,2.6439345
2019-05-05,2.689138
2019-05-06,2.7173655
2019-05-07,2.6838896
2019-05-08,2.5649886
2019-05-09,2.6226857
2019-05-10,2.5904338
2019-05-11,2.6045866
2019-05-12,2.6329782
2019-05-13,2.6463242
2019-05-14,2.600391
2019-05-15,2.4718802
2019-05-16,2.5231545
2019-05-17,2.48791
2019-05-18,2.5026395
2019-05-19,2.5352058
2019-05-20,2.556242
2019-05-21,2.5213199
2019-05-22,2.406841
2019-05-23,2.4747694
2019-05-24,2.4583154
2019-05-25,2.4934115
2019-05-26,2.547305
2019-05-27,2.589973
2019-05-28,2.5763133
2019-05-29,2.482053
2019-05-30,2.5685053
2019-05-31,2.5682704
2019-06-01,2.6167338
2019-06-02,2.6806734
2019-06-03,2.729692
2019-06-04,2.7184212
2019-06-05,2.622439
2019-06-06,2.703033
2019-06-07,2.692905
2019-06-08,2.7276683
2019-06-09,2.774449
2019-06-10,2.8033128
2019-06-11,2.769453
2019-06-12,2.6490993
2019-06-13,2.7042582
2019-06-14,2.6684005
2019-06-15,2.6779368
2019-06-16,2.7007966
2019-06-17,2.707832
2019-06-18,2.6549845
2019-06-19,2.5191698
2019-06-20,2.5630007
2019-06-21,2.5204566
2019-06-22,2.528342
2019-06-23,2.5548565
2019-06-24,2.5709884
2019-06-25,2.5326777
2019-06-26,2.4167008
2019-06-27,2.4853961
2019-06-28,2.4723415
2019-06-29,2.5138245
2019-06-30,2.5774262
2019-07-01,2.6334317
2019-07-02,2.6370153
2019-07-03,2.5641458
2019-07-04,2.6763353
2019-07-05,2.7063406
2019-07-06,2.7896574
2019-07-07,2.8931258
2019-07-08,2.9863641
2019-07-09,3.0239708
2019-07-10,2.9814465
2019-07-11,3.1199555
2019-07-12,3.172038
2019-07-13,3.273106
2019-07-14,3.390053
2019-07-15,3.4926815
2019-07-16,3.5358987
2019-07-17,3.4956267
2019-07-18,3.6335478
2019-07-19,3.6827981
2019-07-20,3.779443
2019-07-21,3.8910613
2019-07-22,3.98815
2019-07-23,4.0262914
2019-07-24,3.9820402
2019-07-25,4.117645
2019-07-26,4.166715
2019-07-27,4.2656794
2019-07-28,4.3823514
2019-07-29,4.4873204
2019-07-30,4.53611
2019-07-31,4.5050592
2019-08-01,4.6560454
2019-08-02,4.7221546
2019-08-03,4.8391514
2019-08-04,4.9740586
2019-08-05,5.0965652
2019-08-06,5.1612124
2019-08-07,5.1432977
2019-08-08,5.303625
2019-08-09,5.3742127
2019-08-10,5.48979
2019-08-11,5.61641
2019-08-12,5.722891
2019-08-13,5.763032
2019-08-14,5.711542
2019-08-15,5.8288198
2019-08-16,5.846676
2019-08-17,5.8998485
2019-08-18,5.954624
2019-08-19,5.980287
2019-08-20,5.9313297
2019-08-21,5.783377
2019-08-22,5.7979507
2019-08-23,5.708176
2019-08-24,5.6502686
2019-08-25,5.592132
2019-08-26,5.5047684
2019-08-27,5.344455
2019-08-28,5.0886297
2019-08-29,5.0006175
2019-08-30,4.8152895
2019-08-31,4.6705165
2019-09-01,4.5357246
2019-09-02,4.383271
2019-09-03,4.170586
2019-09-04,3.8760352
2019-09-05,3.7636137
2019-09-06,3.5685987
2019-09-07,3.428985
2019-09-08,3.3140383
2019-09-09,3.1956716
2019-09-10,3.0305984
2019-09-11,2.7962065
2019-09-12,2.755279
2019-09-13,2.6416676
2019-09-14,2.5917642
2019-09-15,2.5730872
2019-09-16,2.5556998
2019-09-17,2.494403
2019-09-18,2.3646526
2019-09-19,2.4273229
2019-09-20,2.4144213
2019-09-21,2.4606018
2019-09-22,2.5317867
2019-09-23,2.5966196
2019-09-24,2.6086862
2019-09-25,2.5424552
2019-09-26,2.6580594
2019-09-27,2.687023
2019-09-28,2.7637787
2019-09-29,2.8542888
2019-09-30,2.9274907
2019-10-01,2.9375026
2019-10-02,2.8595474
2019-10-03,2.9547067
2019-10-04,2.9556215
2019-10-05,2.9979744
2019-10-06,3.0490785
2019-10-07,3.079284
2019-10-08,3.0441477
2019-10-09,2.9203186
2019-10-10,2.970257
2019-10-11,2.9278998
2019-10-12,2.9301143
2019-10-13,2.945257
2019-10-14,2.9445596
2019-10-15,2.8842802
2019-10-16,2.7415755
2019-10-17,2.7792137
2019-10-18,2.731239
2019-10-19,2.7344267
2019-10-20,2.7568552
2019-10-21,2.7693026
2019-10-22,2.7274187
2019-10-23,2.6076186
2019-10-24,2.6718216
2019-10-25,2.653143
2019-10-26,2.6873794
2019-10-27,2.7416086
2019-10-28,2.785619
2019-10-29,2.7741072
2019-10-30,2.6826
2019-10-31,2.7722173
2019-11-01,2.7753851
2019-11-02,2.8273375
2019-11-03,2.8947308
2019-11-04,2.9470794
2019-11-05,2.938962
2019-11-06,2.8459382
2019-11-07,2.9293094
2019-11-08,2.921822
2019-11-09,2.9591558
2019-11-10,3.008523
2019-11-11,3.0400834
2019-11-12,3.009128
2019-11-13,2.8919754
2019-11-14,2.9507067
2019-11-15,2.9188442
2019-11-16,2.932818
2019-11-17,2.9605408
2019-11-18,2.972803
2019-11-19,2.925442
2019-11-20,2.795218
2019-11-21,2.8445427
2019-11-22,2.8071465
2019-11-23,2.8195438
2019-11-24,2.8496068
2019-11-25,2.8679652
2019-11-26,2.83018
2019-11-27,2.7126353
2019-11-28,2.777275
2019-11-29,2.7572923
2019-11-30,2.7886076
2019-12-01,2.8384647
2019-12-02,2.8768518
2019-12-03,2.858694
2019-12-04,2.759765
2019-12-05,2.8414445
2019-12-06,2.8364215
2019-12-07,2.880191
2019-12-08,2.9396603
2019-12-09,2.9845793
2019-12-10,2.969739
2019-12-11,2.8708863
2019-12-12,2.9494824
2019-12-13,2.9383984
2019-12-14,2.9734073
2019-12-15,3.0217795
2019-12-16,3.0537007
2019-12-17,3.0244546
2019-12-18,2.9103224
2019-12-19,2.973321
2019-12-20,2.946884
2019-12-21,2.9673326
2019-12-22,3.0024545
2019-12-23,3.0229049
2019-12-24,2.9843748
2019-12-25,2.8634772
2019-12-26,2.9224753
