Date,weekly runoff
2019-01-01,10.214457
2019-01-02,10.244212
2019-01-03,10.277185
2019-01-04,10.301129
2019-01-05,10.318888
2019-01-06,10.3302145
2019-01-07,10.334814
2019-01-08,10.323965
2019-01-09,10.310122
2019-01-10,10.297361
2019-01-11,10.274362
2019-01-12,10.244935
2019-01-13,10.209824
2019-01-14,10.169714
2019-01-15,10.116839
2019-01-16,10.064558
2019-01-17,10.017777
2019-01-18,9.965916
2019-01-19,9.913415
2019-01-20,9.861523
2019-01-21,9.811298
2019-01-22,9.755201
2019-01-23,9.706676
2019-01-24,9.670558
2019-01-25,9.636055
2019-01-26,9.607256
2019-01-27,9.584925
2019-01-28,9.569522
2019-01-29,9.552798
2019-01-30,9.547405
2019-01-31,9.55732
2019-02-01,9.570841
2019-02-02,9.591119
2019-02-03,9.617975
2019-02-04,9.650938
2019-02-05,9.680866
2019-02-06,9.719565
2019-02-07,9.770243
2019-02-08,9.820507
2019-02-09,9.872922
2019-02-10,9.926832
2019-02-11,9.981405
2019-02-12,10.027263
2019-02-13,10.076101
2019-02-14,10.131142
2019-02-15,10.180134
2019-02-16,10.225899
2019-02-17,10.268146
2019-02-18,10.306512
2019-02-19,10.332174
2019-02-20,10.35746
2019-02-21,10.386283
2019-02-22,10.407127
2019-02-23,10.423579
2019-02-24,10.436128
2019-02-25,10.445177
2019-02-26,10.442656
2019-02-27,10.4416065
2019-02-28,10.446604
2019-03-01,10.44673
2019-03-02,10.446087
2019-03-03,10.445594
2019-03-04,10.445991
2019-03-05,10.43943
2019-03-06,10.439071
2019-03-07,10.44949
2019-03-08,10.459654
2019-03-09,10.473439
2019-03-10,10.49142
2019-03-11,10.513885
2019-03-12,10.532438
2019-03-13,10.559593
2019-03-14,10.599198
2019-03-15,10.639422
2019-03-16,10.683285
2019-03-17,10.730462
2019-03-18,10.780317
2019-03-19,10.823519
2019-03-20,10.871653
2019-03-21,10.927666
2019-03-22,10.978871
2019-03-23,11.027496
2019-03-24,11.072504
2019-03-25,11.112647
2019-03-26,11.138096
2019-03-27,11.16007
2019-03-28,11.181297
2019-03-29,11.189023
2019-03-30,11.185573
2019-03-31,11.170183
2019-04-01,11.142052
2019-04-02,11.091972
2019-04-03,11.0319605
2019-04-04,10.965702
2019-04-05,10.881564
2019-04-06,10.783134
2019-04-07,10.671037
2019-04-08,10.545961
2019-04-09,10.400275
2019-04-10,10.247625
2019-04-11,10.093353
2019-04-12,9.927477
2019-04-13,9.755193
2019-04-14,9.578667
2019-04-15,9.400024
2019-04-16,9.212926
2019-04-17,9.0321455
2019-04-18,8.863946
2019-04-19,8.699039
2019-04-20,8.543067
2019-04-21,8.398363
2019-04-22,8.266938
2019-04-23,8.142042
2019-04-24,8.037736
2019-04-25,7.959278
2019-04-26,7.8960857
2019-04-27,7.8522377
2019-04-28,7.8282566
2019-04-29,7.8241196
2019-04-30,7.830866
2019-05-01,7.8601956
2019-05-02,7.914911
2019-05-03,7.981922
2019-05-04,8.062805
2019-05-05,8.155632
2019-05-06,8.258047
2019-05-07,8.358912
2019-05-08,8.467974
2019-05-09,8.586345
2019-05-10,8.699559
2019-05-11,8.808162
2019-05-12,8.909584
2019-05-13,9.001234
2019-05-14,9.072167
2019-05-15,9.132755
2019-05-16,9.185169
2019-05-17,9.21642
2019-05-18,9.228934
2019-05-19,9.222387
2019-05-20,9.196763
2019-05-21,9.143969
2019-05-22,9.077453
2019-05-23,9.00262
2019-05-24,8.909804
2019-05-25,8.804776
2019-05-26,8.690496
2019-05-27,8.570101
2019-05-28,8.438444
2019-05-29,8.311641
2019-05-30,8.197423
2019-05-31,8.088049
2019-06-01,7.9907484
2019-06-02,7.9094524
2019-06-03,7.8477325
2019-06-04,7.8003297
2019-06-05,7.782686
2019-06-06,7.801308
2019-06-07,7.84669
2019-06-08,7.923799
2019-06-09,8.033837
2019-06-10,8.177242
2019-06-11,8.345283
2019-06-12,8.549663
2019-06-13,8.792964
2019-06-14,9.061667
2019-06-15,9.356722
2019-06-16,9.675405
2019-06-17,10.014414
2019-06-18,10.361557
2019-06-19,10.725439
2019-06-20,11.105987
2019-06-21,11.487536
2019-06-22,11.869462
2019-06-23,12.248089
2019-06-24,12.619808
2019-06-25,12.972793
2019-06-26,13.316678
2019-06-27,13.653083
2019-06-28,13.968658
2019-06-29,14.265679
2019-06-30,14.543886
2019-07-01,14.803546
2019-07-02,15.037059
2019-07-03,15.258564
2019-07-04,15.474344
2019-07-05,15.675775
2019-07-06,15.869793
2019-07-07,16.060637
2019-07-08,16.252783
2019-07-09,16.442457
2019-07-10,16.647139
2019-07-11,16.875864
2019-07-12,17.122112
2019-07-13,17.394203
2019-07-14,17.696976
2019-07-15,18.034714
2019-07-16,18.402626
2019-07-17,18.816353
2019-07-18,19.282303
2019-07-19,19.790565
2019-07-20,20.345371
2019-07-21,20.946846
2019-07-22,21.594013
2019-07-23,22.27639
2019-07-24,23.00359
2019-07-25,23.775787
2019-07-26,24.576761
2019-07-27,25.404465
2019-07-28,26.252932
2019-07-29,27.115385
2019-07-30,27.975965
2019-07-31,28.839441
2019-08-01,29.701784
2019-08-02,30.543276
2019-08-03,31.359198
2019-08-04,32.14174
2019-08-05,32.883205
2019-08-06,33.567703
2019-08-07,34.200928
2019-08-08,34.780643
2019-08-09,35.289837
2019-08-10,35.727272
2019-08-11,36.08941
2019-08-12,36.373463
2019-08-13,36.569046
2019-08-14,36.6878
2019-08-15,36.733818
2019-08-16,36.696606
2019-08-17,36.58159
2019-08-18,36.39185
2019-08-19,36.131084
2019-08-20,35.79515
2019-08-21,35.401558
2019-08-22,34.95979
2019-08-23,34.46422
2019-08-24,33.92448
2019-08-25,33.347206
2019-08-26,32.738895
2019-08-27,32.09745
2019-08-28,31.441658
2019-08-29,30.781519
2019-08-30,30.111168
2019-08-31,29.439304
2019-09-01,28.770954
2019-09-02,28.110424
2019-09-03,27.452894
2019-09-04,26.813976
2019-09-05,26.200157
2019-09-06,25.60177
2019-09-07,25.023563
2019-09-08,24.466505
2019-09-09,23.930882
2019-09-10,23.407934
2019-09-11,22.90952
2019-09-12,22.438616
2019-09-13,21.982365
2019-09-14,21.542677
2019-09-15,21.118105
2019-09-16,20.706942
2019-09-17,20.298883
2019-09-18,19.90471
2019-09-19,19.526762
2019-09-20,19.151983
2019-09-21,18.782484
2019-09-22,18.41739
2019-09-23,18.055885
2019-09-24,17.688837
2019-09-25,17.32841
2019-09-26,16.97849
2019-09-27,16.627674
2019-09-28,16.279766
2019-09-29,15.9355755
2019-09-30,15.595901
2019-10-01,15.253118
2019-10-02,14.920741
2019-10-03,14.603819
2019-10-04,14.2918825
2019-10-05,13.989446
2019-10-06,13.697763
2019-10-07,13.417836
2019-10-08,13.141986
2019-10-09,12.88343
2019-10-10,12.646707
2019-10-11,12.420636
2019-10-12,12.208851
2019-10-13,12.011595
2019-10-14,11.828755
2019-10-15,11.651481
2019-10-16,11.491795
2019-10-17,11.353049
2019-10-18,11.222933
2019-10-19,11.104025
2019-10-20,10.995631
2019-10-21,10.8968315
2019-10-22,10.79812
2019-10-23,10.711037
2019-10-24,10.638625
2019-10-25,10.568442
2019-10-26,10.503113
2019-10-27,10.442148
2019-10-28,10.384989
2019-10-29,10.322623
2019-10-30,10.267197
2019-10-31,10.222445
2019-11-01,10.176675
2019-11-02,10.133297
2019-11-03,10.09261
2019-11-04,10.054824
2019-11-05,10.01164
2019-11-06,9.975852
2019-11-07,9.951748
2019-11-08,9.92808
2019-11-09,9.908581
2019-11-10,9.893744
2019-11-11,9.883839
2019-11-12,9.870495
2019-11-13,9.866308
2019-11-14,9.875251
2019-11-15,9.885657
2019-11-16,9.900754
2019-11-17,9.920463
2019-11-18,9.944434
2019-11-19,9.963663
2019-11-20,9.990102
2019-11-21,10.02711
2019-11-22,10.062459
2019-11-23,10.098876
2019-11-24,10.13587
2019-11-25,10.172783
2019-11-26,10.200413
2019-11-27,10.230641
2019-11-28,10.266883
2019-11-29,10.297088
2019-11-30,10.324287
2019-12-01,10.348415
2019-12-02,10.369334
2019-12-03,10.378459
2019-12-04,10.388354
2019-12-05,10.4031725
2019-12-06,10.411628
2019-12-07,10.417527
2019-12-08,10.4215555
2019-12-09,10.424295
2019-12-10,10.417811
2019-12-11,10.415244
2019-12-12,10.421215
2019-12-13,10.424801
2019-12-14,10.4300375
2019-12-15,10.43771
2019-12-16,10.448359
2019-12-17,10.453874
2019-12-18,10.46708
2019-12-19,10.492164
2019-12-20,10.517644
2019-12-21,10.546906
2019-12-22,10.58
2019-12-23,10.61667
2019-12-24,10.647967
2019-12-25,10.685869
2019-12-26,10.733715
