Date,Discharge
2019-01-01,406.72543
2019-01-02,397.18326
2019-01-03,385.69717
2019-01-04,381.13135
2019-01-05,385.67416
2019-01-06,386.9319
2019-01-07,391.43372
2019-01-08,397.28885
2019-01-09,394.48178
2019-01-10,390.06723
2019-01-11,392.75723
2019-01-12,404.57443
2019-01-13,412.95004
2019-01-14,424.23352
2019-01-15,436.35507
2019-01-16,439.12573
2019-01-17,439.43753
2019-01-18,445.856
2019-01-19,460.27768
2019-01-20,470.0327
2019-01-21,481.3978
2019-01-22,492.2614
2019-01-23,492.426
2019-01-24,488.8093
2019-01-25,490.03635
2019-01-26,498.09647
2019-01-27,500.44354
2019-01-28,503.5063
2019-01-29,505.34955
2019-01-30,495.972
2019-01-31,482.50223
2019-02-01,473.78516
2019-02-02,472.03317
2019-02-03,464.92004
2019-02-04,459.08545
2019-02-05,452.79025
2019-02-06,436.2091
2019-02-07,416.62137
2019-02-08,402.99387
2019-02-09,397.62854
2019-02-10,388.25415
2019-02-11,381.52966
2019-02-12,375.69955
2019-02-13,360.8868
2019-02-14,344.2865
2019-02-15,334.75095
2019-02-16,334.4415
2019-02-17,330.92493
2019-02-18,330.68185
2019-02-19,331.76782
2019-02-20,324.11255
2019-02-21,314.7192
2019-02-22,312.2557
2019-02-23,318.7123
2019-02-24,321.50296
2019-02-25,326.9784
2019-02-26,333.09103
2019-02-27,329.69672
2019-02-28,323.75626
2019-03-01,323.92725
2019-03-02,332.22122
2019-03-03,336.10373
2019-03-04,342.005
2019-03-05,347.98114
2019-03-06,344.012
2019-03-07,337.19742
2019-03-08,336.3437
2019-03-09,343.61487
2019-03-10,346.62686
2019-03-11,351.95203
2019-03-12,357.77487
2019-03-13,354.18448
2019-03-14,348.36642
2019-03-15,349.18515
2019-03-16,358.83276
2019-03-17,364.92117
2019-03-18,373.98602
2019-03-19,384.143
2019-03-20,385.3821
2019-03-21,384.7621
2019-03-22,390.99713
2019-03-23,406.11008
2019-03-24,417.53052
2019-03-25,431.60483
2019-03-26,446.25925
2019-03-27,451.30087
2019-03-28,453.61905
2019-03-29,461.7785
2019-03-30,477.6787
2019-03-31,488.65723
2019-04-01,501.00436
2019-04-02,512.62933
2019-04-03,513.3635
2019-04-04,510.16266
2019-04-05,511.69937
2019-04-06,520.0204
2019-04-07,522.6467
2019-04-08,526.0834
2019-04-09,528.47974
2019-04-10,519.926
2019-04-11,507.64737
2019-04-12,500.5885
2019-04-13,501.06177
2019-04-14,496.8389
2019-04-15,494.65186
2019-04-16,492.8454
2019-04-17,481.66602
2019-04-18,468.4498
2019-04-19,462.20203
2019-04-20,465.24167
2019-04-21,465.2911
2019-04-22,468.9767
2019-04-23,474.483
2019-04-24,471.8448
2019-04-25,468.14017
2019-04-26,472.07666
2019-04-27,485.64407
2019-04-28,496.2133
2019-04-29,510.04764
2019-04-30,524.96783
2019-05-01,530.65594
2019-05-02,533.8595
2019-05-03,542.9892
2019-05-04,559.7824
2019-05-05,571.4109
2019-05-06,584.0011
2019-05-07,595.3052
2019-05-08,595.0093
2019-05-09,589.9413
2019-05-10,588.66766
2019-05-11,593.1554
2019-05-12,590.8756
2019-05-13,588.3165
2019-05-14,583.64636
2019-05-15,567.0108
2019-05-16,545.7277
2019-05-17,528.8709
2019-05-18,518.9165
2019-05-19,503.83206
2019-05-20,490.5732
2019-05-21,477.73166
2019-05-22,455.81805
2019-05-23,432.4437
2019-05-24,416.8924
2019-05-25,411.75793
2019-05-26,405.02545
2019-05-27,403.5644
2019-05-28,405.77457
2019-05-29,401.87112
2019-05-30,399.07098
2019-05-31,406.17258
2019-06-01,425.20444
2019-06-02,443.5202
2019-06-03,467.30792
2019-06-04,494.25452
2019-06-05,513.8509
2019-06-06,532.5993
2019-06-07,558.6156
2019-06-08,593.2988
2019-06-09,623.4482
2019-06-10,654.7923
2019-06-11,684.6718
2019-06-12,702.36017
2019-06-13,714.28455
2019-06-14,728.637
2019-06-15,747.05066
2019-06-16,756.7177
2019-06-17,763.91656
2019-06-18,766.68774
2019-06-19,755.1432
2019-06-20,736.67224
2019-06-21,720.53314
2019-06-22,709.5066
2019-06-23,691.9879
2019-06-24,675.4855
2019-06-25,659.2662
2019-06-26,634.6337
2019-06-27,610.1017
2019-06-28,595.9541
2019-06-29,595.8681
2019-06-30,598.9777
2019-07-01,613.34644
2019-07-02,638.5902
2019-07-03,666.1373
2019-07-04,704.388
