Date,Discharge
2019-01-01,6057.469
2019-01-02,6153.4727
2019-01-03,6213.954
2019-01-04,6276.348
2019-01-05,6313.488
2019-01-06,6355.891
2019-01-07,6408.487
2019-01-08,6440.781
2019-01-09,6497.5786
2019-01-10,6520.736
2019-01-11,6547.429
2019-01-12,6550.165
2019-01-13,6559.08
2019-01-14,6578.675
2019-01-15,6578.004
2019-01-16,6601.4097
2019-01-17,6590.2905
2019-01-18,6581.3906
2019-01-19,6546.8223
2019-01-20,6516.382
2019-01-21,6494.3022
2019-01-22,6449.4478
2019-01-23,6426.064
2019-01-24,6365.551
2019-01-25,6304.758
2019-01-26,6216.0103
2019-01-27,6129.421
2019-01-28,6049.6416
2019-01-29,5946.051
2019-01-30,5863.4937
2019-01-31,5744.043
2019-02-01,5625.2803
2019-02-02,5480.3047
2019-02-03,5340.029
2019-02-04,5209.909
2019-02-05,5060.117
2019-02-06,4936.253
2019-02-07,4781.0967
2019-02-08,4632.8613
2019-02-09,4465.192
2019-02-10,4309.4424
2019-02-11,4171.3945
2019-02-12,4021.4158
2019-02-13,3905.1724
2019-02-14,3765.3672
2019-02-15,3639.9998
2019-02-16,3502.363
2019-02-17,3383.3274
2019-02-18,3288.0676
2019-02-19,3186.2344
2019-02-20,3122.6794
2019-02-21,3039.2122
2019-02-22,2972.8782
2019-02-23,2895.9744
2019-02-24,2838.3582
2019-02-25,2804.192
2019-02-26,2762.14
2019-02-27,2756.1106
2019-02-28,2727.0374
2019-03-01,2711.1724
2019-03-02,2680.1194
2019-03-03,2663.1555
2019-03-04,2663.9873
2019-03-05,2650.9563
2019-03-06,2667.7852
2019-03-07,2655.3591
2019-03-08,2650.0186
2019-03-09,2623.5876
2019-03-10,2605.6858
2019-03-11,2600.4739
2019-03-12,2576.846
2019-03-13,2579.1592
2019-03-14,2548.9988
2019-03-15,2523.4512
2019-03-16,2475.1135
2019-03-17,2434.3845
2019-03-18,2406.195
2019-03-19,2360.1753
2019-03-20,2341.374
2019-03-21,2292.0032
2019-03-22,2249.7
2019-03-23,2187.5247
2019-03-24,2136.2446
2019-03-25,2101.056
2019-03-26,2051.7522
2019-03-27,2033.4397
2019-03-28,1988.2891
2019-03-29,1953.8005
2019-03-30,1902.8108
2019-03-31,1865.787
2019-04-01,1847.5605
2019-04-02,1817.5099
2019-04-03,1820.2902
2019-04-04,1797.5986
2019-04-05,1786.4567
2019-04-06,1759.2297
2019-04-07,1745.9369
2019-04-08,1750.9961
2019-04-09,1743.4182
2019-04-10,1767.546
2019-04-11,1764.8271
2019-04-12,1772.1001
2019-04-13,1761.6176
2019-04-14,1763.354
2019-04-15,1781.7515
2019-04-16,1785.9061
2019-04-17,1820.3026
2019-04-18,1826.5771
2019-04-19,1841.7937
2019-04-20,1838.4568
2019-04-21,1846.8073
2019-04-22,1871.554
2019-04-23,1882.0509
2019-04-24,1923.0172
2019-04-25,1936.2908
2019-04-26,1959.0955
2019-04-27,1964.0435
2019-04-28,1981.4275
2019-04-29,2015.9467
2019-04-30,2036.8818
2019-05-01,2088.8171
2019-05-02,2113.3948
2019-05-03,2147.5876
2019-05-04,2163.7095
2019-05-05,2191.7146
2019-05-06,2235.9355
2019-05-07,2265.2693
2019-05-08,2323.9119
2019-05-09,2353.1277
2019-05-10,2389.5334
2019-05-11,2405.1233
2019-05-12,2429.5803
2019-05-13,2467.0254
2019-05-14,2486.215
2019-05-15,2531.2817
2019-05-16,2543.51
2019-05-17,2559.6255
2019-05-18,2551.8198
2019-05-19,2550.0618
2019-05-20,2558.842
2019-05-21,2547.3638
2019-05-22,2560.2769
2019-05-23,2539.441
2019-05-24,2522.2036
2019-05-25,2481.4106
2019-05-26,2447.702
2019-05-27,2426.2415
2019-05-28,2386.8918
2019-05-29,2374.9321
2019-05-30,2332.8079
2019-05-31,2298.3926
2019-06-01,2244.9883
2019-06-02,2203.6104
2019-06-03,2179.7085
2019-06-04,2143.3367
2019-06-05,2139.8677
2019-06-06,2111.741
2019-06-07,2096.7295
2019-06-08,2067.9424
2019-06-09,2056.1187
2019-06-10,2066.3577
2019-06-11,2068.2996
2019-06-12,2106.8545
2019-06-13,2123.9644
2019-06-14,2156.8843
2019-06-15,2178.202
2019-06-16,2218.144
2019-06-17,2281.3245
2019-06-18,2336.9365
2019-06-19,2429.4924
2019-06-20,2500.597
2019-06-21,2587.236
2019-06-22,2661.799
2019-06-23,2754.3901
2019-06-24,2869.5723
2019-06-25,2976.5579
2019-06-26,3119.941
2019-06-27,3241.462
2019-06-28,3378.2832
2019-06-29,3502.999
2019-06-30,3645.93
2019-07-01,3811.8516
2019-07-02,3970.167
2019-07-03,4165.622
2019-07-04,4340.052
2019-07-05,4530.64
2019-07-06,4709.9175
2019-07-07,4908.04
2019-07-08,5129.5117
2019-07-09,5343.3447
2019-07-10,5593.777
2019-07-11,5822.016
2019-07-12,6064.5044
2019-07-13,6292.922
2019-07-14,6536.48
2019-07-15,6798.6562
2019-07-16,7047.379
2019-07-17,7325.7593
2019-07-18,7573.8643
2019-07-19,7827.009
2019-07-20,8055.782
2019-07-21,8288.375
2019-07-22,8527.344
2019-07-23,8739.814
2019-07-24,8968.256
2019-07-25,9152.262
2019-07-26,9326.877
2019-07-27,9462.636
2019-07-28,9587.906
2019-07-29,9705.659
2019-07-30,9783.685
2019-07-31,9865.355
2019-08-01,9891.418
2019-08-02,9898.287
2019-08-03,9858.087
2019-08-04,9800.966
2019-08-05,9731.837
2019-08-06,9620.572
2019-08-07,9512.726
2019-08-08,9351.287
2019-08-09,9174.946
2019-08-10,8958.085
2019-08-11,8733.052
2019-08-12,8506.87
2019-08-13,8251.384
2019-08-14,8013.9443
2019-08-15,7739.1367
2019-08-16,7467.008
2019-08-17,7173.0312
2019-08-18,6890.3633
