Date,weekly runoff
2019-01-01,10.960209
2019-01-02,11.152924
2019-01-03,11.333883
2019-01-04,11.507111
2019-01-05,11.669309
2019-01-06,11.821697
2019-01-07,11.965702
2019-01-08,12.083474
2019-01-09,12.203084
2019-01-10,12.312513
2019-01-11,12.415619
2019-01-12,12.508816
2019-01-13,12.59293
2019-01-14,12.668894
2019-01-15,12.718298
2019-01-16,12.768597
2019-01-17,12.807127
2019-01-18,12.837098
2019-01-19,12.854299
2019-01-20,12.858974
2019-01-21,12.851553
2019-01-22,12.813207
2019-01-23,12.771098
2019-01-24,12.7124
2019-01-25,12.640308
2019-01-26,12.550764
2019-01-27,12.444328
2019-01-28,12.321922
2019-01-29,12.165379
2019-01-30,12.002684
2019-01-31,11.82199
2019-02-01,11.627615
2019-02-02,11.416731
2019-02-03,11.191235
2019-02-04,10.9534445
2019-02-05,10.686636
2019-02-06,10.420242
2019-02-07,10.143842
2019-02-08,9.863114
2019-02-09,9.576513
2019-02-10,9.287087
2019-02-11,8.998162
2019-02-12,8.693838
2019-02-13,8.404176
2019-02-14,8.11916
2019-02-15,7.844643
2019-02-16,7.579006
2019-02-17,7.3249817
2019-02-18,7.0853295
2019-02-19,6.8433495
2019-02-20,6.6280737
2019-02-21,6.428252
2019-02-22,6.2483187
2019-02-23,6.0850782
2019-02-24,5.9395604
2019-02-25,5.8127327
2019-02-26,5.6860456
2019-02-27,5.5866675
2019-02-28,5.5015025
2019-03-01,5.4332
2019-03-02,5.3768764
2019-03-03,5.3320017
2019-03-04,5.298146
2019-03-05,5.2555513
2019-03-06,5.2303896
2019-03-07,5.2087984
2019-03-08,5.192904
2019-03-09,5.177548
2019-03-10,5.162178
2019-03-11,5.1465855
2019-03-12,5.111471
2019-03-13,5.083684
2019-03-14,5.0502377
2019-03-15,5.014309
2019-03-16,4.971934
2019-03-17,4.9238667
2019-03-18,4.8712873
2019-03-19,4.796325
2019-03-20,4.727269
2019-03-21,4.6525455
2019-03-22,4.576684
2019-03-23,4.496981
2019-03-24,4.415336
2019-03-25,4.333927
2019-03-26,4.2357206
2019-03-27,4.1496634
2019-03-28,4.064651
2019-03-29,3.9854875
2019-03-30,3.9095535
2019-03-31,3.8386412
2019-04-01,3.7746456
2019-04-02,3.7000875
2019-04-03,3.6433234
2019-04-04,3.5925374
2019-04-05,3.551726
2019-04-06,3.517391
2019-04-07,3.4904046
2019-04-08,3.471729
2019-04-09,3.4429653
2019-04-10,3.4315917
2019-04-11,3.4249787
2019-04-12,3.4263964
2019-04-13,3.4317257
2019-04-14,3.441337
2019-04-15,3.455821
2019-04-16,3.4565442
2019-04-17,3.4708867
2019-04-18,3.4862568
2019-04-19,3.5060894
2019-04-20,3.526545
2019-04-21,3.548378
2019-04-22,3.5726426
2019-04-23,3.5812347
2019-04-24,3.6021025
2019-04-25,3.623241
2019-04-26,3.6486635
2019-04-27,3.6750827
2019-04-28,3.7037494
2019-04-29,3.736147
2019-04-30,3.7545078
2019-05-01,3.7870162
2019-05-02,3.8217852
2019-05-03,3.8628287
2019-05-04,3.9067326
2019-05-05,3.9545004
2019-05-06,4.0072503
2019-05-07,4.0467434
2019-05-08,4.1005974
2019-05-09,4.1562853
2019-05-10,4.217121
2019-05-11,4.2789598
2019-05-12,4.3420615
2019-05-13,4.4068174
2019-05-14,4.454299
2019-05-15,4.5115
2019-05-16,4.5653543
2019-05-17,4.618748
2019-05-18,4.6672306
2019-05-19,4.7109003
2019-05-20,4.750135
2019-05-21,4.766156
2019-05-22,4.786267
2019-05-23,4.79787
2019-05-24,4.8044744
2019-05-25,4.8023934
2019-05-26,4.7926188
2019-05-27,4.7765307
